article_title_eng,article_eng,article_title_kor,article_kor
Article 9 (Co-Owned Land Partition Committee),"The Co-owned Land Partition Committee (hereinafter referred to as the ""Committee"") shall be established as an affiliate to a competent cadastral authority in order to impartially deliberate on and resolve matters regarding the partition of co-owned land.",제9조(공유토지분할위원회),"공유토지분할에 관한 사항을 공정하게 심의ㆍ의결하기 위하여 지적소관청에 공유토지분할위원회(이하 ""위원회""라 한다)를 둔다."
Article 10 (Formation of Committee),"(1) The Committee shall be comprised of nine members, including one chairperson and one vice chairperson.(2) Members of the Committee shall be comprised of the following persons:1. One judge appointed by the chief judge of the competent District Court;2. Two Grade V, or higher-ranking, public officials from the competent cadastral authority;3. One registration officer appointed by the chief judge of the competent District Court;4. The head of the Eup/Myeon/Dong having jurisdiction over the area involved;5. Two persons commissioned by the competent cadastral authority from among attorneys-at-law or other persons with abundant legal knowledge;6. Two persons commissioned by the competent cadastral authority from among local residents who have sound knowledge about law.(3) The judge appointed as a member shall serve as the chairperson, while the vice chairperson shall be designated by the competent cadastral authority from among other committee members.(4) The Committee shall have one administrative secretary, in addition to committee members, in order to carry out administrative affairs.(5) Committee members who are not public officials, among members of the Committee, shall be deemed public officials in application of penalty provisions of the Criminal Act or any other Act.(6) Other necessary matters regarding the appointment, dismissal, and exclusion of committee members and the organization, operation, and meetings of the Committee shall be prescribed by Presidential Decree.",제10조(위원회의 구성),"① 위원회는 위원장 1명과 부위원장 1명을 포함한 9명의 위원으로 구성한다.② 위원회의 위원은 다음 각 호의 사람이 된다.1. 관할 지방법원장이 지명하는 판사 1명2. 지적소관청 소속 5급 이상 공무원 2명3. 관할 지방법원장이 지명하는 등기관 1명4. 해당 구역의 읍장ㆍ면장 또는 동장5. 변호사나 그 밖의 법률지식이 풍부한 사람으로서 지적소관청이 위촉하는 사람 2명6. 법률에 소양이 있는 해당 지역주민으로서 지적소관청이 위촉하는 사람 2명③ 위원장은 위원인 판사가, 부위원장은 위원 중에서 지적소관청이 지정하는 사람이 된다.④ 위원회의 서무를 처리하기 위하여 위원이 아닌 간사 1명을 둔다.⑤ 위원회의 위원 중 공무원이 아닌 위원은 형법이나 그 밖의 법률에 따른 벌칙적용에 있어서는 공무원으로 본다.⑥ 그 밖에 위원의 선임ㆍ해임ㆍ제척과 위원회의 조직ㆍ운영ㆍ회의 등에 필요한 사항은 대통령령으로 정한다."
Article 11 (Committee's Functions),"(1) The Committee shall decide or pass a resolution on the following matters:1. Decision on the commencement of partition under Article 16 (1) or on the dismissal thereof;2. Decision on a dismissal under Article 18 or on the revocation of a decision to commence partition;3. Resolution on a written protocol under Article 26 (1);4. Decision on whether to sustain a petition for objection under Article 31;5. Resolution under Article 32 (4);6. Other matters specified by Presidential Decree.(2) If the Committee deems it necessary for deliberation in making a decision under paragraph (1), it may conduct fact-finding investigations, ex officio or at the request of a co-owner or any other interested party, or may demand an applicant or interested party to submit necessary documents and may also authorize public officials of the competent cadastral authority to conduct fact-finding investigations.",제11조(위원회의 기능),① 위원회는 다음 각 호의 사항을 결정하거나 의결한다.1. 제16조제1항에 따른 분할개시 또는 기각 결정2. 제18조에 따른 기각결정 및 분할개시결정의 취소 결정3. 제26조제1항에 따른 분할조서에 대한 의결4. 제31조에 따른 이의신청에 대한 인용여부의 결정5. 제32조제4항에 따른 의결6. 그 밖에 대통령령으로 정하는 사항② 위원회는 제1항에 따른 결정 등을 하기 위한 심사를 함에 있어서 필요하다고 인정할 때에는 직권 또는 공유자나 그 밖의 이해관계인의 신청에 의하여 사실조사를 하거나 신청인 또는 이해관계인에게 필요한 서류의 제출을 요구할 수 있으며 지적소관청의 소속 공무원으로 하여금 사실조사를 하게 할 수 있다.
"Article 12 (Committee's Decisions, etc.)","(1) A decision or resolution by the Committee under Article 11 (1) 1 through 5 shall be made or adopted in writing by concurrent votes of a majority of current committee members.(2) The formal adjudication, the reasons for and the date of decision or resolution, and the names of the committee members participating in the decision or resolution shall be entered in a written decision or resolution on which all committee members participating in the decision or resolution shall place their signatures or seals: Provided, That if any committee member refuses to, or is unable to, place his/her signature or seal, such committee member's signature or seal may be omitted with the reason therefor stated.(3) If the Committee is unable to make a decision within the period specified for decision-making in Article 16 (1), 18 (4) or (5) or 31 (1) due to unavoidable circumstances, it may resolve to extend the period.",제12조(위원회의 결정 등),"① 제11조제1항제1호부터 제5호까지의 규정에 관한 위원회의 결정 또는 의결은 문서로써 재적위원 과반수의 찬성으로 한다.② 제1항에 따른 결정서 또는 의결서에는 주문, 결정 또는 의결 이유, 결정 또는 의결 일자 및 결정 또는 의결에 참여한 위원의 성명을 기재하고, 결정 또는 의결에 참여한 위원 전원이 서명날인을 하여야 한다. 다만, 서명날인을 거부하거나 서명날인을 할 수 없는 부득이한 사유가 있는 위원이 있는 때에는 해당 위원의 서명날인을 생략하고 그 사유만을 기재할 수 있다.③ 위원회는 제16조제1항, 제18조제4항ㆍ제5항 및 제31조제1항에 따른 결정기간 이내에 결정을 할 수 없는 부득이한 사유가 있는 때에는 의결을 거쳐 그 기간을 연장할 수 있다."
"Article 13 (Perusal of Documents, etc.)　","(1) Co-owners or interested parties may read documents related to the partition of co-owned land, and attend a meeting of the Committee to state their opinions or submit necessary evidential documents as prescribed by Presidential Decree. (2) 　Co-owners or interested parties may ask the competent cadastral authority to issue a certified copy of documents related to the partition of co-owned land at their own expense as prescribed by Presidential Decree. ",제13조(서류의 열람 등),① 공유자 또는 이해관계인은 대통령령으로 정하는 바에 따라 공유토지분할에 관한 서류를 열람하고 위원회에 출석하여 그 의견을 진술하거나 필요한 증빙서류를 제출할 수 있다.② 공유자 또는 이해관계인은 지적소관청에 대하여 자기의 비용으로 대통령령으로 정하는 바에 따라 공유토지분할에 관한 서류의 등본교부를 청구할 수 있다.
"CHAPTER III COMMENCEMENT, ETC. OF PARTITION",,제3장 분할의 개시 등,
"Article 14 (Application for Partition, etc.)","(1) A co-owner may file an application to divide co-owned land, with at least one-fifth of all co-owners or at least 20 co-owners, with the competent cadastral authority, as prescribed by Presidential Decree. In such cases, the applicant shall be included among the required number of consenting co-owners.(2) The validity of an application filed for partition under paragraph (1) shall not be affected by the death, the transfer of the share, or the withdrawal of consent of the applicant or consenting person.(3) No application filed for partition under paragraph (1) shall be voluntarily withdrawn after a decision to commence partition is made pursuant to Article 16 (1): Provided, That the foregoing shall not apply where otherwise agreed by the applicant and all consenting persons (if the ownership of shares of the applicant or other consenting persons have been succeeded, referring to the successors.)(4) If at least two applications have been filed to divide a parcel of co-owned land, such applications may be jointly proceeded.(5) Where co-owners of at least two parcels of co-owned land adjacent to one another intends to merge the parcels of co-owned land for partitioning again, paragraphs (1) and (2) shall apply mutatis mutandis to the application for merging. (6) 　Notwithstanding a decision to dismiss an application or to revoke the commencement of partition under Article 16 (1) or 18, an application for partition filed under paragraph (1) shall not be affected if its defects have been remedied. <Newly Inserted by Act No. 12634, May 21, 2014> ",제14조(분할신청 등),"① 공유자는 공유자 총수의 5분의 1 이상 또는 공유자 20명 이상의 동의를 받아 대통령령으로 정하는 바에 따라 지적소관청에 공유토지의 분할을 신청할 수 있다. 이 경우 신청인은 동의를 요하는 공유자 수에 포함된다.② 제1항에 따른 분할신청의 효력은 신청인 또는 동의인의 사망이나 그 지분의 양도 또는 동의의 철회에 의하여 영향을 받지 아니한다.③ 제1항에 따른 분할신청은 제16조제1항에 따른 분할개시의 결정이 있은 후에는 취하할 수 없다. 다만, 신청인과 동의인(신청인 또는 동의인의 공유지분에 대한 소유권의 승계가 있는 경우에는 해당 승계인을 말한다) 전원의 합의가 있는 때에는 그러하지 아니하다.④ 동일한 공유토지에 대하여 여러 개의 분할신청이 있는 때에는 이를 병합하여 처리할 수 있다.⑤ 서로 인접한 여러 필지의 공유토지로서 각 필지의 공유자가 같은 일단(一團)의 토지를 합병하여 분할하고자 하는 경우 그 합병신청을 함에 있어서는 제1항 및 제2항을 준용한다.⑥ 제1항에 따른 분할의 신청은 제16조제1항 및 제18조에 따른 기각결정 및 분할개시결정의 취소결정에도 불구하고 흠결이 보완된 경우에는 영향을 받지 아니한다. <신설 2014.5.21.>"
Article 15 (Referring to Committee),"(1) Upon receipt of an application for partition under Article 14 (1), the competent cadastral authority shall examine data necessary to determine the current status of occupation of the relevant co-owned land or whether the land is eligible for partition under Article 3 and shall submit such data to the Committee, along with the application, within five weeks.(2) When the competent cadastral authority submits an outcome of its examination under paragraph (1) to the Committee, it may submit its written opinion on the deliberation and decision as to whether to commence partition.",제15조(위원회의 회부),① 지적소관청은 제14조제1항에 따른 분할신청이 있는 때에는 5주 이내에 해당 공유토지에 대한 점유현황이나 그 밖의 제3조에 따른 분할대상토지의 여부를 판단하는 데 필요한 자료를 조사하여 신청서와 함께 이를 위원회에 회부하여야 한다.② 지적소관청은 제1항에 따른 조사결과를 위원회에 회부함에 있어서 분할개시의 심사ㆍ결정에 관한 의견서를 제출할 수 있다.
Article 16 (Decisions on and Public Notice of Commencement of Partition),"(1) Upon receipt of an application submitted pursuant to Article 15 (1), the Committee shall deliberate on the application and decide whether to commence partition or to dismiss the application within five weeks. In such cases, with respect to co-owned land prescribed in subparagraph 3 (b)　of Article 2, the Committee shall not decide to dismiss an application for any of the following reasons: <Amended by Act No. 12634, May 21, 2014>1. Land within a district-unit planning zone under Article 51 of the National Land Planning and Utilization Act;2. Discrepancy between the total area of co-owned land registered in the cadastral record and the sum of area owned by co-owners according to their respective shares.(2) When the Committee decides to dismiss an application pursuant to paragraph (1), the competent cadastral authority shall serve the authentic copy of the written decision to the applicant without delay.(3) When the Committee decides to commence partition pursuant to paragraph (1), the competent cadastral authority shall serve the authentic copy of the written decision to each co-owner without delay, notify interested parties thereof, and shall give public notice thereof for at least three weeks, as prescribed by Presidential Decree.(4) When the Committee decides to commence partition, the competent cadastral authority shall request, without delay, a registry office having jurisdiction over the location of the relevant co-owned land to register the decision to commence partition with a certified copy of the decision to commence partition attached.",제16조(분할개시의 결정 및 공고),"① 위원회는 제15조제1항에 따라 신청서를 회부받은 때에는 5주 이내에 이를 심사하여 분할개시 또는 기각의 결정을 하여야 한다. 이 경우 위원회는 제2조제3호나목에 따른 공유토지에 대하여 다음 각 호의 어느 하나에 해당하는 이유로 기각의 결정을 하여서는 아니 된다. <개정 2014.5.21.>1. 「국토의 계획 및 이용에 관한 법률」 제51조에 따른 지구단위계획구역 내 토지2. 공유토지의 지적공부상 전체면적과 공유자별 지분면적의 합의 불일치② 지적소관청은 위원회가 제1항에 따라 기각결정을 한 때에는 지체 없이 신청인에게 그 결정서정본을 송달하여야 한다.③ 지적소관청은 위원회가 제1항에 따라 분할개시결정을 한 때에는 지체 없이 각 공유자에게 그 결정서정본을 송달하고, 이해관계인에게 그 뜻을 통지하여야 하며, 대통령령으로 정하는 바에 따라 3주 이상 이를 공고하여야 한다.④ 지적소관청은 위원회의 분할개시결정이 있는 때에는 지체 없이 촉탁서에 분할개시결정서등본을 첨부하여 해당 공유토지의 소재지를 관할하는 등기소에 분할개시결정의 등기를 촉탁하여야 한다."
"Article 17 (Registration, etc. of Decisions to Commence Subdivision)","Upon receipt of a request for registration under Article 16 (4), the registration officer shall register the relevant decision in the registry without delay, and the head of the registry office shall notify the competent cadastral authority of the result thereof.",제17조(분할개시결정의 등기 등),제16조제4항에 따른 등기의 촉탁을 받은 등기관은 지체 없이 이를 등기부에 기재하고 관할 등기소장은 그 결과를 지적소관청에 통지하여야 한다.
"Article 18 (Petitions for Objection to Decisions to Commence Partition, etc.)","(1) A co-owner who has an objection to a decision to commence partition under Article 16 (1) may file an objection in writing with the competent cadastral authority within three weeks from the date on which the authentic copy of the written decision is served. In such cases, the competent cadastral authority shall forward the written objection to the Committee without delay.(2) An objection under paragraph (1) may be filed only in any of the following cases: <Amended by Act No. 12634, May 21, 2014>1. Where a person who raises an objection asserts that the land for which a decision to commence partition is made is eligible for the partition of co-owned land under Article 3 (including where a lawsuit seeking the partition of co-owned property or any similar lawsuit has been filed for the partition of the co-owned land involved after an application for partition was filed, but before the petition for objection is filed);2. Where a person who raises an objection asserts that an application for partition fails to satisfy the requirement specified in Article 14 (1);3. Where a person who raises an objection intends to divide co-owned land involved through a lawsuit seeking the partition of co-owned property or any similar lawsuit;4. Where a person who raises an objection asserts that the Committee's procedure for making a decision to commence partition violates this Act;5. Where a person who raises an objection asserts that partition under this Act is obviously contrary to fairness in determining boundaries such as the adjacency relationship to roads.(3) A person who files an objection pursuant to paragraph (2) 3 shall file a lawsuit against all other co-owners with the competent court within three weeks from the date of filing the objection. In such cases, a duplicate of the complaint and a certificate of pending litigation shall be submitted to the competent cadastral authority.(4) If the Committee finds that an objection filed pursuant to paragraph (2) 1, 2, 4, or 5 is unsustainable or if the person who has raised an objection pursuant to paragraph (2) 3 fails to file for a lawsuit within the period specified in paragraph (3), the Committee shall make a decision to dismiss the objection within five weeks from the date of filing the objection.(5) If the Committee finds that an objection filed pursuant to paragraph (2) 1, 2, 4, or 5 is sustainable (in cases of the petition for objection filed pursuant to paragraph (2) 2, referring to where the failure to meet the requirement specified in Article 14 (1) is unrectified before a decision on the partition is made) or if a lawsuit under paragraph (3) is filed, the Committee shall decide to revoke the decision to commence partition within five weeks from the date the petition was filed. In such cases, the Committee shall hear the opinion of the applicant for partition before making such decision.(6) When the Committee decides to dismiss an objection pursuant to paragraph (4), the competent cadastral authority shall serve the authentic copy of the written decision to a person who has raised an objection without delay.(7) When the Committee decides to revoke a decision to commence partition pursuant to paragraph (5), the competent cadastral authority shall serve the authentic copy of the written decision to each co-owner without delay and shall notify interested parties thereof. In such cases, the competent cadastral authority shall give public notice of the reasons for such decision, as prescribed by Presidential Decree.(8) When the Committee decides to revoke a decision to commence subdivision, the competent cadastral authority shall request, without delay, to cancel the registration of the decision to commence partition under Article 17, along with a certified copy of the written decision.",제18조(분할개시결정에 대한 이의신청 등),"① 제16조제1항에 따른 분할개시결정에 이의가 있는 공유자는 그 결정서정본이 송달된 날부터 3주 이내에 지적소관청에 서면으로 이의를 신청할 수 있다. 이 경우 지적소관청은 지체 없이 이의신청을 위원회에 회부하여야 한다.② 제1항에 따른 이의신청은 다음 각 호의 어느 하나에 해당하는 경우에만 할 수 있다. <개정 2014.5.21.>1. 분할개시결정을 한 토지가 제3조에 따른 공유토지분할의 대상이 아니라는 주장을 하는 경우(분할신청 후 이의신청 전에 해당 공유토지의 분할을 위하여 공유물분할의 소 또는 이에 준하는 소송을 제기한 경우를 포함한다)2. 분할신청이 제14조제1항에 따른 요건을 갖추지 못하였다고 주장하는 경우3. 공유물분할의 소 또는 이에 준하는 소송에 의하여 해당 공유토지를 분할하고자 하는 경우4. 위원회의 분할개시결정 절차가 이 법을 위반하였다고 주장하는 경우5. 이 법에 따른 분할이 도로의 인접관계 등 경계를 특정함에 있어 현저히 형평에 반한다고 주장하는 경우③ 제2항제3호에 따라 이의신청을 한 자는 그 이의신청일부터 3주 이내에 관할 법원에 나머지 공유자 전원을 상대로 소를 제기하여야 한다. 이 경우 그 소장부본과 제소증명서를 지적소관청에 제출하여야 한다.④ 위원회는 제2항제1호ㆍ제2호ㆍ제4호 또는 제5호에 따른 이의신청이 이유 없다고 인정하거나 제2항제3호에 따른 이의신청을 한 자가 제3항의 기간 이내에 소를 제기하지 아니한 경우에는 그 이의신청일부터 5주 이내에 기각결정을 하여야 한다.⑤ 위원회는 제2항제1호ㆍ제2호ㆍ제4호 또는 제5호에 따른 이의신청이 이유 있다고 인정(제2항제2호에 따른 이의신청은 그에 대한 결정이 있을 때까지 제14조제1항의 요건흠결이 보정되지 아니한 경우를 말한다)하거나 제3항에 따른 소의 제기가 있는 경우에는 그 이의신청일부터 5주 이내에 분할개시결정을 취소하는 결정을 하여야 한다. 이 경우 미리 분할신청인의 의견을 들어야 한다.⑥ 지적소관청은 제4항에 따라 위원회가 기각결정을 한 때에는 지체 없이 이의신청인에게 그 결정서정본을 송달하여야 한다.⑦ 지적소관청은 제5항에 따라 위원회가 분할개시결정을 취소하는 결정을 한 때에는 지체 없이 각 공유자에게 그 결정서정본을 송달하고, 이해관계인에게 그 뜻을 통지하여야 한다. 이 경우 대통령령으로 정하는 바에 따라 그 사유를 공고하여야 한다.⑧ 지적소관청은 위원회가 분할개시결정을 취소하는 결정을 한 때에는 지체 없이 그 결정서등본을 첨부하여 제17조에 따른 분할개시결정등기의 말소를 촉탁하여야 한다."
