article_title_eng,article_eng,article_title_kor,article_kor
Article 6-2 (Demand for Data on Public Property),"(1) The Minister of the Interior and Safety may have the heads of local governments submit data on the management status, etc. of public property in order to promote the efficient use of public property, etc. <Amended on Jul. 26, 2017>(2) The Minister of the Interior and Safety may instruct and supervise the heads of local governments regarding management, etc. of public property or require them to take other necessary measures. <Amended on Jul. 26, 2017>[This Article Newly Inserted on Jan. 20, 2015]",제6조의2(공유재산 자료요구 등),① 행정안전부장관은 공유재산의 효율적 활용 등을 도모하기 위하여 지방자치단체의 장에게 공유재산 관리현황 등에 대한 자료를 제출하게 할 수 있다. <개정 2017. 7. 26.>② 행정안전부장관은 공유재산 관리 등에 대하여 지도ㆍ감독을 하거나 그 밖에 필요한 조치를 지방자치단체의 장에게 요구할 수 있다. <개정 2017. 7. 26.>[본조신설 2015. 1. 20.]
Article 7 (Contributed Acceptance),"(1) Where any person intends to donate his or her property prescribed in any subparagraph of Article 4 (1) to a local government, the head of the local government may accept the donation, as prescribed by Presidential Decree.(2) Where it is impracticable for a local government to manage the property to be donated pursuant to paragraph (1); where a local government does not need such property; or where the donation is subject to a condition, the local government shall not accept the donation, as prescribed by Presidential Decree: Provided, That the donation is not deemed to be subject to a condition in any of the following cases:1. Where any property, which is to be donated as administrative property, is donated on condition that the donor, his or her heir, or other general successor shall be permitted to use the property free of charge;2. Regarding any administrative property whose use is repealed, where a person donates a facility to be used as a substitute for the administrative property on condition that such administrative property to be disused shall be transferred to the donor, his or her heir, or other general successor pursuant to Article 40 (1) 3, to the extent of the expenses incurred by him or her.[This Article Wholly Amended on Jan. 20, 2015]",제7조(기부채납),"① 지방자치단체의 장은 제4조제1항 각 호의 재산을 지방자치단체에 기부하려는 자가 있으면 대통령령으로 정하는 바에 따라 받을 수 있다.② 제1항에 따라 기부하려는 재산이 지방자치단체가 관리하기 곤란하거나 필요하지 아니한 것인 경우 또는 기부에 조건이 붙은 경우에는 대통령령으로 정하는 바에 따라 받아서는 아니 된다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 기부에 조건이 붙은 것으로 보지 아니한다.1. 행정재산으로 기부하는 재산에 대하여 기부자, 그 상속인, 그 밖의 포괄승계인에게 무상으로 사용허가하여 줄 것을 조건으로 그 재산을 기부하는 경우2. 행정재산의 용도를 폐지하는 경우 그 용도에 사용될 대체시설을 제공한 자, 그 상속인, 그 밖의 포괄승계인이 그 부담한 비용의 범위에서 제40조제1항제3호에 따라 용도폐지된 재산을 양여할 것을 조건으로 그 대체시설을 기부하는 경우[전문개정 2015. 1. 20.]"
Article 8 (Restriction on Acquisition of Property on Which Private Rights Have Been Established),"No property on which private rights have been established shall be acquired as public property unless such rights are extinguished: Provided, That the foregoing shall not apply when the property is acquired by a court ruling. <Amended on Feb. 4, 2010; Jan. 20, 2015>[This Article Wholly Amended on Dec. 26, 2008]",제8조(사권설정 재산의 취득 제한),"사권(私權)이 설정된 재산은 그 사권이 소멸되기 전에는 공유재산으로 취득하지 못한다. 다만, 법원의 판결에 따라 취득하는 경우에는 그러하지 아니하다. <개정 2010. 2. 4., 2015. 1. 20.>[전문개정 2008. 12. 26.]"
Article 9 (Registration on Official Register),"(1) Upon acquiring any public property or accepting any donation, the head of a local government shall record or register it or take any other measures necessary for preserving the right without delay, as prescribed by statutes or regulations. <Amended on Feb. 4, 2010>(2) The rightful person enlisted on the title deed of public property, such as real estate or other rights, which should be recorded or registered in the official register, shall be the relevant local government: Provided, That as for any public property belonging to the special account for educational expenses prescribed in the Local Education Autonomy Act, the name of its competent authority, ""superintendent of education"", shall be enlisted additionally on the title deed.[This Article Wholly Amended on Dec. 26, 2008]",제9조(공부 등록 등),"① 지방자치단체의 장은 공유재산을 취득하거나 기부채납을 받으면 법령에서 정하는 바에 따라 지체 없이 등기ㆍ등록이나 그 밖에 권리 보전에 필요한 조치를 하여야 한다. <개정 2010. 2. 4.>② 부동산이나 그 밖의 권리에 해당하는 공유재산으로서 등기 또는 공부(公簿)에 등록이 필요한 공유재산의 권리자 명의는 해당 지방자치단체로 한다. 다만, 「지방교육자치에 관한 법률」에 따른 교육비특별회계 소관의 공유재산은 그 소관청의 명칭인 “교육감”을 덧붙여 적어야 한다.[전문개정 2008. 12. 26.]"
Article 10 (Formulation and Amendment of Public Property Management Plan),"(1) Before the local council sets the budget, the head of a local government shall formulate a plan for acquisition and disposal of public property (hereinafter referred to as ""management plan"") each year and obtain approval thereof from the local council. In such cases, the foregoing shall also apply when the plan is revoked or partially amended after its formulation for any unavoidable reasons. <Amended on Feb. 4, 2010; Jan. 20, 2015>(2) The head of the local government shall submit the management plan to the local council 50 days before the commencement of a fiscal year in cases of the Special Metropolitan City, a Metropolitan City, a Special Self-Governing City, a Do, and a Special Self-Governing Province; and 40 days before the commencement of a fiscal year in cases of a Si/Gun/Gu (referring to an autonomous Gu). <Newly Inserted on Jan. 20, 2015>(3) Notwithstanding paragraph (2), where a business plan is amended during the fiscal year or where there is a reason for urgent acquisition or disposal of public property, a management plan may be prepared and submitted during that fiscal year. In such cases, the submission procedures shall be in accordance with Article 46 of the Local Autonomy Act. <Newly Inserted on Jan. 20, 2015>(4) The scope of public property to be included in a management plan, and the standards for preparing or amending a management plan shall be prescribed by Presidential Decree. <Amended on Jan. 20, 2015>(5) Where a management plan is approved by a local council, it shall be deemed that the local council’s approval has been obtained for the acquisition and disposal of important property pursuant to Article 39 (1) 6 of the Local Autonomy Act. <Amended on Jan. 20, 2015>[This Article Wholly Amended on Dec. 26, 2008][Title Amended on Jan. 20, 2015]",제10조(공유재산의 관리계획 수립ㆍ변경 등),"① 지방자치단체의 장은 예산을 지방의회에서 의결하기 전에 매년 공유재산의 취득과 처분에 관한 계획(이하 “관리계획”이라 한다)을 세워 그 지방의회의 의결을 받아야 한다. 이 경우 관리계획을 수립한 후 부득이한 사유로 그 내용이 취소되거나 일부를 변경할 때에도 또한 같다. <개정 2010. 2. 4., 2015. 1. 20.>② 지방자치단체의 장은 관리계획을 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도는 회계연도 시작 50일 전까지, 시ㆍ군ㆍ구(자치구를 말한다)는 회계연도 시작 40일 전까지 지방의회에 제출하여야 한다. <신설 2015. 1. 20.>③ 제2항에도 불구하고 회계연도 중에 사업계획이 변경되거나 긴급하게 공유재산을 취득ㆍ처분하여야 할 사유가 있는 때에는 그 회계연도 중에 관리계획을 수립하여 제출할 수 있다. 이 경우 제출 절차는 「지방자치법」 제46조에 따른다. <신설 2015. 1. 20.>④ 관리계획에 포함하여야 할 공유재산의 범위, 관리계획의 작성기준 및 변경기준은 대통령령으로 정한다. <개정 2015. 1. 20.>⑤ 관리계획에 관하여 지방의회의 의결을 받았을 때에는 「지방자치법」 제39조제1항제6호에 따른 중요 재산의 취득ㆍ처분에 관한 지방의회의 의결을 받은 것으로 본다. <개정 2015. 1. 20.>[전문개정 2008. 12. 26.][제목개정 2015. 1. 20.]"
Article 11 (Change or Abolition of Use),"The head of a local government shall undergo deliberation of the public property council referred to in Article 16 (hereinafter referred to as “public property council”) in any of the following cases:1. When intending to change or abolish the use of administrative property according to the criteria prescribed by Presidential Decree;2. When intending to change general property to administrative property through change of use.[This Article Wholly Amended on Feb. 4, 2010]",제11조(용도의 변경 또는 폐지),지방자치단체의 장은 다음 각 호의 어느 하나에 해당하는 경우에는 제16조에 따른 공유재산심의회(이하 “공유재산심의회”라 한다)의 심의를 거쳐야 한다.1. 대통령령으로 정하는 기준에 따라 행정재산의 용도를 변경하거나 폐지하려는 경우2. 일반재산을 행정재산으로 용도 변경하려는 경우[전문개정 2010. 2. 4.]
Article 12 (Transfer of Property between Accounts),"Where any property belonging to one of the accounts of a local government is to be transferred to another, such transfer shall be done onerously: Provided, That where it is transferred for any official or public use, the transfer may be done gratuitously through deliberation of the public property council of the relevant local government.[This Article Wholly Amended on Dec. 26, 2008]",제12조(회계 간의 재산 이관),"지방자치단체의 각 회계 중 어느 하나의 회계에 속하는 재산을 다른 회계의 재산으로 이관할 때에는 유상(有償)으로 하여야 한다. 다만, 공용 또는 공공용으로 사용하기 위하여 이관하는 경우에는 그 지방자치단체 공유재산심의회의 심의를 거쳐 무상으로 할 수 있다.[전문개정 2008. 12. 26.]"
Article 13 (Prohibition on Constructing Permanent Facilities),"No person, other than the head of the relevant local government, shall construct any types of structures, such as buildings, ditches and bridges, and other permanent facilities on public property: Provided, That the foregoing shall not apply to cases prescribed by Presidential Decree where no disruption is caused to the use of the relevant public property.[This Article Wholly Amended on Dec. 26, 2008]",제13조(영구시설물의 축조 금지),"해당 지방자치단체의 장 외의 자는 공유재산에 건물, 도랑ㆍ교량 등의 구조물과 그 밖의 영구시설물을 축조하지 못한다. 다만, 그 공유재산의 사용 및 이용에 지장이 없는 경우로서 대통령령으로 정하는 경우에는 그러하지 아니하다.[전문개정 2008. 12. 26.]"
Article 14 (Delegation of Management of Public Property and Relevant Duties),"(1) Where the head of a local government manages or disposes of the public property under his or her jurisdiction, he or she may delegate the management or disposal of the public property to a public official under his or her jurisdiction; the Special Metropolitan City Mayor, a Special-Self Governing City Mayor, or a Do Governor may delegate the management or disposal of the property to the head of Si/Gun/Gu (the head of a Gu refers to the head of an autonomous Gu; hereinafter the same shall apply).(2) The public official delegated under paragraph (1) shall be referred to as ""property manager.""(3) The handling of expenses incurred in the management or disposal of public property delegated under paragraph (1) shall be prescribed by Presidential Decree. <Newly Inserted on Feb. 4, 2010>[This Article Wholly Amended on Dec. 26, 2008]",제14조(공유재산의 관리와 사무의 위임),"① 지방자치단체의 장은 소관 공유재산을 관리ㆍ처분하되, 소속 공무원에게 위임하여 공유재산을 관리ㆍ처분하게 할 수 있고, 특별시장ㆍ광역시장 또는 도지사는 시장ㆍ군수 또는 구청장(자치구의 구청장을 말한다. 이하 같다)에게 위임하여 그 재산을 관리ㆍ처분하게 할 수 있다.② 제1항에 따라 위임을 받은 공무원을 “재산관리관”이라 한다.③ 제1항에 따라 위임받은 공유재산의 관리ㆍ처분 사무에 필요한 비용의 처리에 관하여는 대통령령으로 정한다. <신설 2010. 2. 4.>[전문개정 2008. 12. 26.]"
Article 15 (Restrictions on Conduct of Property Managers),"(1) No property manager or any other public official engaged in duties related to public property shall acquire public property which he or she handles or exchange it with his or her private property: Provided, That the foregoing shall not apply where he or she obtains permission therefor from the head of the relevant local government.(2) Any conduct committed in violation of paragraph (1) shall be null and void.[This Article Wholly Amended on Dec. 26, 2008]",제15조(재산관리관 등의 행위제한),"① 재산관리관이나 그 밖에 공유재산에 관한 사무에 종사하는 공무원은 그 처리하는 공유재산을 취득하거나 자기의 소유재산과 교환하지 못한다. 다만, 그 지방자치단체의 장의 허가를 받은 경우에는 그러하지 아니하다.② 제1항을 위반한 행위는 무효로 한다.[전문개정 2008. 12. 26.]"
Article 16 (Public Property Council),"(1) A public property council shall be established under each local government to advise on the management and disposal of public property to the head of the local government.(2) The public property council referred to in paragraph (1) shall deliberate on the following: <Amended on Jan. 20, 2015>1. Where a management plan is formulated or amended pursuant to Article 10;2. Where any property is transferred between accounts gratuitously pursuant to the proviso of Article 12;3. Where usage fees or rental fees are reduced or exempted pursuant to Article 24 or 34;4. In other cases prescribed by ordinance of the relevant local government with respect to management, operation, disposal, etc. of public property.(3) The public property council referred to in paragraph (1) shall consist of at least seven and up to 15 members, including one chairperson and two vice chairpersons, as prescribed in the following: <Newly Inserted on Jan. 20, 2015>1. The vice head of the relevant local government shall serve as the chairperson of the public property council;2. The director general in charge of property management in the relevant local government and one civilian member shall respectively serve as a vice chairperson of the council; the vice chairperson who is a civilian member shall be elected among and by the members of the public property council;3. The members of the council shall be appointed or commissioned by the head of the local government from among the public officials under its jurisdiction and persons with abundant knowledge and experience in the field of public property. In such cases, the fixed number of civilian members shall constitute a majority of the total fixed number of members of the council.(4) Other matters necessary for the composition and operation of a public property council shall be prescribed by Presidential Decree. <Newly Inserted on Jan. 20, 2015>[This Article Wholly Amended on Dec. 26, 2008]",제16조(공유재산심의회),"① 공유재산의 관리 및 처분에 관하여 지방자치단체의 장이 자문하기 위하여 각 지방자치단체에 공유재산심의회를 둔다.② 제1항에 따른 공유재산심의회는 다음 각 호의 사항을 심의한다. <개정 2015. 1. 20.>1. 제10조에 따라 관리계획을 수립하거나 변경하는 경우2. 제12조 단서에 따라 무상으로 회계 간의 재산 이관을 하는 경우3. 제24조 또는 제34조에 따라 사용료 또는 대부료를 감면하는 경우4. 그 밖에 공유재산의 관리ㆍ운영 및 처분 등에 대하여 해당 지방자치단체의 조례로 정하는 경우③ 제1항에 따른 공유재산심의회는 다음 각 호에 따라 위원장 1명과 부위원장 2명을 포함한 7명 이상 15명 이하의 위원으로 구성한다. <신설 2015. 1. 20.>1. 위원장은 해당 지방자치단체의 부단체장으로 한다.2. 부위원장은 해당 지방자치단체 소속 재산관리 담당 국장과 민간위원 각 1명으로 하되, 민간위원인 부위원장은 공유재산심의회에서 호선하여 선정한다.3. 위원은 해당 지방자치단체 소속 공무원과 공유재산 분야에 학식과 경험이 풍부한 사람 중에서 지방자치단체의 장이 임명 또는 위촉한다. 이 경우 민간위원의 정수는 전체 위원 정수의 과반수가 되어야 한다.④ 그 밖에 공유재산심의회의 구성과 운영에 필요한 사항은 대통령령으로 정한다. <신설 2015. 1. 20.>[전문개정 2008. 12. 26.]"
Article 17 (Consultation on Bills of Statutes or Regulations Related to Public Property),"Where the head of a central administrative agency intends to enact, amend, or repeal any statute or regulation related to the management and disposal of public property, he or she shall consult in advance with the Minister of the Interior and Safety. <Amended on Mar. 23, 2013; Nov. 19, 2014; Jul. 26, 2017>[This Article Wholly Amended on Dec. 26, 2008]",제17조(공유재산에 관한 법령안의 협의),"중앙행정기관의 장은 공유재산의 관리와 처분에 관련되는 법령을 제정, 개정 또는 폐지하려면 미리 행정안전부장관과 협의하여야 한다. <개정 2013. 3. 23., 2014. 11. 19., 2017. 7. 26.>[전문개정 2008. 12. 26.]"
Article 18 (Payment of Expenses for Public Property of Local Governments Used by the State),"Where the State uses public property of a local government, it shall bear the expenses incurred in the management thereof: Provided, That the foregoing shall not apply when consent is obtained from the local council.[This Article Wholly Amended on Dec. 26, 2008]",제18조(국가가 사용하는 지방자치단체의 공유재산에 관한 경비 부담),"국가는 지방자치단체의 공유재산을 사용할 때에는 그 공유재산의 관리에 드는 경비를 부담하여야 한다. 다만, 그 지방의회가 동의한 경우에는 그러하지 아니하다.[전문개정 2008. 12. 26.]"
CHAPTER III ADMINISTRATIVE PROPERTY,,제3장 행정재산,
Article 19 (Restrictions on Disposal),"(1) No administrative property shall be lent, sold, exchanged, transferred, trusted, paid in substitutes, or made an object of any investment, and no private right shall be established on administrative property: Provided, That the foregoing shall not apply in any of the following cases: <Amended on Feb. 4, 2010>1. Where the administrative property is transferred to the State or another local government on condition that its use and nature are maintained, as prescribed by Presidential Decree;2. Where the administrative property is exchanged with property owned by a person other than the relevant local government to manage it as administrative property;3. Where superficies or divided superficies for installing structures are established to the extent that they do not impede the purpose and use of the relevant administrative property for the purpose of implementing a public works project referred to in Article 4 of the Act on Acquisition of and Compensation for Land, etc. for Public Works Projects.(2) Where any administrative property is transferred pursuant to paragraph (1) 1, a special agreement shall be registered stating that the transfer contract shall be canceled should the property that has been transferred be used for any purpose other than the purpose of the transfer within 10 years.(3) The types, prices, etc. of administrative property exchanged pursuant to paragraph (1) 2 may be restricted as prescribed by Presidential Decree. <Newly Inserted on Feb. 4, 2010>(4) Where any administrative property is to be exchanged with another property pursuant to paragraph (1) 2, if the prices of the two are not the same, the difference shall be paid in cash. <Newly Inserted on Feb. 4, 2010>[This Article Wholly Amended on Dec. 26, 2008]",제19조(처분 등의 제한),"① 행정재산은 대부ㆍ매각ㆍ교환ㆍ양여ㆍ신탁 또는 대물변제하거나 출자의 목적으로 하지 못하며, 이에 사권을 설정하지 못한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 그러하지 아니하다. <개정 2010. 2. 4.>1. 행정재산의 용도와 성질을 유지하는 조건으로 대통령령으로 정하는 바에 따라 국가 또는 다른 지방자치단체에 양여하는 경우2. 해당 지방자치단체 외의 자가 소유한 재산을 행정재산으로 관리하기 위하여 교환하는 경우3. 「공익사업을 위한 토지 등의 취득 및 보상에 관한 법률」 제4조에 따른 공익사업의 시행을 위하여 해당 행정재산의 목적과 용도에 장애가 되지 아니하는 범위에서 공작물의 설치를 위한 지상권 또는 구분지상권을 설정하는 경우② 제1항제1호에 따라 행정재산을 양여하는 경우에는 양여받은 재산이 10년 이내에 그 양여 목적 외의 용도로 사용되면 양여계약을 해제한다는 내용의 특약등기를 하여야 한다.③ 제1항제2호에 따라 교환하는 행정재산의 종류ㆍ가격 등은 대통령령으로 정하는 바에 따라 제한할 수 있다. <신설 2010. 2. 4.>④ 제1항제2호에 따라 행정재산을 교환하는 경우 양쪽 가격이 같지 아니할 때에는 그 차액을 금전으로 내야 한다. <신설 2010. 2. 4.>[전문개정 2008. 12. 26.]"
