article_title_eng,article_eng,article_title_kor,article_kor
Article 13 (Promotion of Regional Science and Technology),"The State and local governments shall pursue policies concerning the following matters so as to promote science and technology necessary for balanced national development:1. Matters relating to fostering local research and education institutions for science and technology;2. Matters relating to promoting research and development for balanced national development;3. Matters relating to improving capabilities of science and technology including securing more local human resources for research and development;4. Matters relating to developing local science and technology.[This Article Newly Inserted on Mar. 20, 2018]",제13조(지역과학기술의 진흥),국가와 지방자치단체는 국가균형발전에 필요한 과학기술의 진흥을 위하여 다음 각 호의 사항에 관한 시책을 추진하여야 한다.1. 지역의 과학기술연구ㆍ교육기관의 육성에 관한 사항2. 국가균형발전을 위한 연구개발의 촉진에 관한 사항3. 지역의 연구개발인력의 확충 등 과학기술역량의 향상에 관한 사항4. 그 밖에 지역의 과학기술 진흥을 위하여 필요한 사항[본조신설 2018. 3. 20.]
Article 14 (Fostering of Balanced National Development Hubs and Expansion of Transport and Logistics Networks),"In order to foster balanced national development hubs needed for facilitating balanced national development and inter-regional cooperation and to expand transport and logistics networks, the State and local governments shall pursue policies on the following matters: <Amended on Dec. 26, 2017; Mar. 20, 2018>1. Fostering development hub cities such as the administrative city under the Special Act on the Construction of Administrative City in Yeongi-Gongju Area for Follow-up Measures for New Administrative Capital (hereinafter referred to as “administrative city”), innovation cities under the Special Act on the Construction and Development of Innovation Cities (hereinafter referred to as “innovation city”), and enterprise cities under the Special Act on the Development of Enterprise Cities (hereinafter referred to as “enterprise city”), and connections between hinterland industries and the region concerned;2. Revitalizing free economic zones under the Act on Designation and Management of Free Economic Zones (hereinafter referred to as “free economic zone”);3. Expanding regional transport and logistics networks such as roads and railways to strengthen connectivity between balanced national development hubs.[This Article Wholly Amended on Apr. 22, 2009][Title Amended on Mar. 20, 2018]",제14조(국가균형발전 거점 육성과 교통ㆍ물류망 확충),"국가와 지방자치단체는 국가균형발전 및 지역 간 협력 촉진을 위하여 필요한 국가균형발전 거점 육성과 교통ㆍ물류망 확충을 위하여 다음 각 호의 사항에 관한 시책을 추진하여야 한다. <개정 2017. 12. 26., 2018. 3. 20.>1. 「신행정수도 후속대책을 위한 연기ㆍ공주지역 행정중심복합도시 건설을 위한 특별법」에 따른 행정중심복합도시(이하 “행정중심복합도시”라 한다), 「혁신도시 조성 및 발전에 관한 특별법」에 따른 혁신도시(이하 “혁신도시”라 한다), 「기업도시개발 특별법」에 따른 기업도시(이하 “기업도시”라 한다) 등 발전 거점 도시의 육성과 배후 산업과 지역과의 연계에 관한 사항2. 「경제자유구역의 지정 및 운영에 관한 법률」에 따른 경제자유구역(이하 “경제자유구역”이라 한다)의 활성화에 관한 사항3. 국가균형발전 거점 간 연계 강화를 위한 도로 및 철도 등 지역 교통ㆍ물류망의 확충에 관한 사항[전문개정 2009. 4. 22.][제목개정 2018. 3. 20.]"
Article 15 (Fostering of Regional Culture and Tourism and Preservation of Environment),"In order to foster regional culture and tourism and to preserve environment, the State and local governments shall pursue policies on the following matters: <Amended on Jan. 7, 2014; Mar. 20, 2018>1. Development and creation of infrastructure for cultural and tourism resources in the relevant region;2. Fostering of professional human resources related to culture and tourism in the relevant region;3. Revitalization of cultural and tourism industries in the relevant region;4. Resolving cultural gap between regions;5. Identification and enhancement of a unique regional spiritual culture and regional value;6. Restoration of regional ecological system, preservation and utilization of natural environment;7. Other matters necessary for fostering the regional culture and tourism and preserving the environment of the relevant region.[This Article Wholly Amended on Apr. 22, 2009][Title Amended on Jan. 7, 2014]",제15조(지역문화ㆍ관광의 육성 및 환경 보전),"국가 및 지방자치단체는 지역의 문화ㆍ관광 육성 및 환경 보전을 위하여 다음 각 호의 사항에 관한 시책을 추진하여야 한다. <개정 2014. 1. 7., 2018. 3. 20.>1. 지역의 문화 및 관광자원의 개발ㆍ기반조성에 관한 사항2. 지역의 문화 및 관광과 관련된 전문인력의 양성에 관한 사항3. 지역의 문화 및 관광산업의 활성화에 관한 사항4. 지역 간 문화격차 해소에 관한 사항5. 지역고유의 정신문화 및 지역가치 발굴ㆍ선양에 관한 사항6. 지역 생태복원, 자연환경의 보전 및 활용에 관한 사항7. 그 밖에 지역의 문화ㆍ관광 육성 및 환경 보전을 위하여 필요한 사항[전문개정 2009. 4. 22.][제목개정 2014. 1. 7.]"
"Article 15-2 (Expansion of Regional Welfare, Health and Medical Care)","The State and local governments shall pursue measures on the following matters, in order to expand welfare, health and medical care in the relevant region:1. Matters relating to establishment of the welfare delivery system that reflects regional characteristics;2. Matters relating to establishment of a public health care delivery system and an emergency medical service system and quality improvement thereof for the areas that are vulnerable to health and medical service;3. Matters relating to expansion of health improvement, health management services and social services for the relevant local community;4. Matters relating to fostering medical personnel within the relevant local community;5. Matters relating to expanding and organizing local health and medical institutes;6. Other matters necessary for expanding welfare, health and medical care.[This Article Newly Inserted on Jan. 7, 2014]",제15조의2(지역의 복지 및 보건의료의 확충),국가 및 지방자치단체는 지역의 복지 및 보건의료의 확충을 위하여 다음 각 호의 사항에 관한 시책을 추진하여야 한다.1. 지역 특성을 반영한 복지전달체계 구축에 관한 사항2. 보건의료 취약지역에 대한 공공의료 전달체계 및 응급의료체계 구축과 그 품질 향상에 관한 사항3. 지역사회 건강증진ㆍ건강관리서비스 및 사회서비스 확대에 관한 사항4. 지역사회 내 의료인력의 육성에 관한 사항5. 지역보건의료기관의 확충 및 정비에 관한 사항6. 그 밖에 지역의 복지 및 보건의료 확충을 위하여 필요한 사항[본조신설 2014. 1. 7.]
Article 16 (Development of Growth Promotion Areas),"In order to improve the living environments in growth promotion areas, areas of special concern, rural areas, etc. and to promote development reflecting the characteristics of the region concerned, the State and local governments shall pursue policies on the following matters: <Amended on Mar. 20, 2018>1. Expanding infrastructure such as transport networks;2. Expanding a foundation for the creation of residents' income;3. Developing and utilizing local specialties unique to the region concerned;4. Improving urban environments and improving education, medical service and welfare;5. Other matters necessary for developing growth promotion areas, areas of special concern, rural areas, etc.[This Article Wholly Amended on Apr. 22, 2009]",제16조(성장촉진지역 등의 개발),"국가와 지방자치단체는 성장촉진지역, 특수상황지역, 농산어촌 등의 생활환경을 개선하고, 특성에 맞는 발전을 촉진하기 위하여 다음 각 호의 사항에 관한 시책을 추진하여야 한다. <개정 2018. 3. 20.>1. 교통망 등 지역사회기반시설의 확충에 관한 사항2. 주민의 소득창출기반의 확충에 관한 사항3. 특성 있는 향토자원의 개발 및 활용에 관한 사항4. 도시환경의 개선과 교육ㆍ의료ㆍ복지의 증진에 관한 사항5. 그 밖에 성장촉진지역, 특수상황지역, 농산어촌 등의 개발을 위하여 필요한 사항[전문개정 2009. 4. 22.]"
Article 16-2 (Implementation of Policies for Depopulation Regions),"(1) The State and local governments shall pursue the following policies in depopulation regions:1. Matters concerning the proper standards for the supply of life services in the depopulation regions, such as education, medical care, welfare, and culture;2. Matters concerning the improvement and expansion of life services conditions, such as narrowing of regional gaps in life services;3. Matters concerning the expansion of transportation and logistics networks, and communications networks;4. Matters concerning creation of jobs, such as attraction of enterprises and promotion of local specialized industries;5. Matters concerning prevention of outflow of youth population and promotion of influx of youth population, such as support for business start-up and settlement;6. Matters relating to support for and revitalization of communities, such as creation of a foundation for the self-reliance of communities;7. Matters for enhancing the capabilities of residents and regions, such as support for autonomous education and training of residents and fostering of experts in villages and communities;8. Matters concerning improvement of the public service delivery system, such as common utilization of facilities and human resources by local governments and adjustment of functions of administrative agencies;9. Other matters deemed particularly necessary for the development of depopulation regions.[This Article Newly Inserted on Dec. 8, 2020]",제16조의2(인구감소지역에 대한 시책추진),"국가와 지방자치단체는 인구감소지역에서 다음 각 호의 시책을 추진하여야 한다.1. 교육ㆍ의료ㆍ복지ㆍ문화 등 인구감소지역의 생활서비스 적정공급기준에 관한 사항2. 지역 간 생활서비스 격차의 해소 등 생활서비스 여건 개선 및 확충에 관한 사항3. 교통ㆍ물류망 및 통신망 확충에 관한 사항4. 기업유치, 지역특화산업 육성 등 일자리 창출에 관한 사항5. 청년 창업 및 정착 지원 등 청년 인구 유출 방지 및 유입 촉진에 관한 사항6. 공동체 자립기반 조성 등 공동체 지원 및 활성화에 관한 사항7. 주민의 자율적인 교육 및 훈련 지원, 마을ㆍ공동체 전문가 양성 등 주민 및 지역 역량 강화에 관한 사항8. 자치단체 간 시설 및 인력 공동 활용, 행정기관 기능 조정 등 공공서비스 전달체계 개선에 관한 사항9. 그 밖에 인구감소지역 발전을 위하여 필요하다고 인정되는 사항[본조신설 2020. 12. 8.]"
Article 16-3 (Support for Depopulation Regions),"(1) The State and local governments may provide financial and administrative support, as prescribed by Presidential Decree, in depopulation regions, for matters such as improvement of social overhead capital, expansion of educational, cultural and tourism facilities, support for agriculture, forestry, oceans and fisheries, construction and improvement of houses, special cases concerning the designation of industrial complexes.(2) Any business owner who moved into a depopulation region may request support for administrative affairs concerning application for the following approval and permission to the City/Do regional innovation office under paragraph (2) of Article 28. In such cases, the City/Do regional innovation office shall provide support for relevant administrative affairs in accordance with procedures and methods prescribed by Presidential Decree:1. Building permission under Article 11 of the Building Act and approval for use of a building under Article 22 of the same Act;2. Permission for installation of emission facilities under Article 23 of the Clean Air Conservation Act;3. Approval for establishment, etc. of a factory under Article 13 (1) of the Industrial Cluster Development and Factory Establishment Act;4. Approval of a project plan under Article 33 of the Support for Small and Medium Enterprise Establishment Act.(3) The head of an agency in receipt of application for approval and permission under the subparagraphs of paragraph (2) from a business owner who moved into a depopulation region shall, notwithstanding other statutes, process such application within the period prescribed by Presidential Decree; if if fails to process it within the period, the approval or permission shall be deemed granted on the following day of the end date of such period. .[This Article Newly Inserted on Dec. 8, 2020]",제16조의3(인구감소지역에 대한 지원),"① 국가와 지방자치단체는 인구감소지역에 사회간접자본 정비, 교육ㆍ문화ㆍ관광시설 확충, 농림ㆍ해양ㆍ수산업 지원, 주택건설 및 개량, 산업단지 지정특례에 관한 사항 등에 관하여 대통령령으로 정하는 바에 따라 재정적ㆍ행정적 지원을 할 수 있다.② 인구감소지역에 입주한 사업자는 다음 각 호의 승인ㆍ허가 신청 사무에 대한 지원을 제28조제2항에 따른 시ㆍ도 지역혁신지원단에 요구할 수 있다. 이 경우 시ㆍ도 지역혁신지원단은 대통령령으로 정하는 절차ㆍ방식에 따라 해당 사무를 지원하여야 한다.1. 「건축법」 제11조에 따른 건축허가 및 같은 법 제22조에 따른 건축물의 사용승인2. 「대기환경보전법」 제23조에 따른 대기오염물질배출시설의 설치 허가3. 「산업집적활성화 및 공장설립에 관한 법률」 제13조제1항에 따른 공장설립등의 승인4. 「중소기업창업 지원법」 제33조에 따른 사업계획의 승인③ 인구감소지역에 입주한 사업자로부터 제2항 각 호의 승인ㆍ허가 신청을 받은 기관의 장은 다른 법령에도 불구하고 대통령령으로 정하는 기간 내에 이를 처리하여야 하며, 기간 내에 처리하지 아니한 경우에는 그 기간이 끝난 날의 다음 날에 승인ㆍ허가를 한 것으로 본다.[본조신설 2020. 12. 8.]"
Article 17 (Designation of Special Area for Responding to Industrial Crisis),"(1) Where a Mayor/Do Governor intends to have all or a part of the administrative district under his or her jurisdiction designated as a special area for responding to industrial crisis, he or she shall file an application for the designation of special area for responding to industrial crisis with the Minister of Trade, Industry and Energy, specifying the administrative district subject to the designation and the details of support.(2) Where the Minister of Trade, Industry and Energy receives the application for the designation of a special area for responding to industrial crisis under paragraph (1), he or she may designate a special area for responding to industrial crisis according to the standards prescribed by Presidential Decree. In such cases, the Minister of Trade, Industry and Energy shall hear the opinions of specialized agency, determine whether it is designated or not, details of designation and designation period according to the consultation with the heads of relevant central administrative agencies, and notify a Mayor/Do Governor of such information.(3) The Minister of Trade, Industry and Energy shall notify the matters determined under paragraph (2) in the Official Gazette.(4) In addition to the matters prescribed under paragraphs (1) through (3), matters necessary for applying for the designation, designation procedure and designation period of a special area for responding to industrial crisis, types and details of support for it, etc. shall be prescribed by Presidential Decree.[This Article Newly Inserted on Mar. 21, 2017]",제17조(산업위기대응특별지역의 지정),"① 시ㆍ도지사는 관할 행정구역의 전부 또는 일부를 산업위기대응특별지역으로 지정받으려는 경우 산업통상자원부장관에게 지정 대상 행정구역 및 지원 내용을 기재하여 산업위기대응특별지역의 지정을 신청하여야 한다.② 산업통상자원부장관은 제1항에 따른 산업위기대응특별지역 지정 신청을 받은 경우 대통령령으로 정하는 기준에 따라 산업위기대응특별지역을 지정할 수 있다. 이 경우 산업통상자원부장관은 전문기관의 의견을 듣고, 관계 중앙행정기관의 장과 협의한 결과에 따라 지정 여부, 지원 내용 및 지정 기간을 결정하여 시ㆍ도지사에게 통보하여야 한다.③ 산업통상자원부장관은 제2항에 따라 결정한 사항을 관보에 공고하여야 한다.④ 제1항부터 제3항까지에서 규정한 사항 외에 산업위기대응특별지역에 대한 지정 신청, 지정 절차 및 지정 기간, 지원의 종류 및 내용 등에 필요한 사항은 대통령령으로 정한다.[본조신설 2017. 3. 21.]"
Article 17-2 (Support for Special Area for Responding to Industrial Crisis),"(1) The Minister of Trade, Industry and Energy and the heads of relevant central administrative agencies shall support the matters determined under Article 17 (2) to a special area for responding to industrial crisis by jurisdiction.(2) The head of a relevant central administrative agency shall submit the matters supported under paragraph (1) to the Minister of Trade, Industry and Energy as prescribed by Presidential Decree. <Newly Inserted on Jan. 8, 2019>(3) The heads of local governments having jurisdiction over a special area for responding to industrial crisis (referring to local governments under Article 2 (1) 2 of the Local Autonomy Act) shall prepare a report on the effects and results, etc. of the support under paragraph (1) as prescribed by Presidential Decree and submit it to the Minister of Trade, Industry and Energy. <Amended on Jan. 8, 2019>(4) If deemed necessary for preparing a report pursuant to paragraph (3), the Minister of Trade, Industry and Energy may provide local governments with the matters submitted under paragraph (2). <Newly Inserted on Jan. 8, 2019>[This Article Newly Inserted on Mar. 21, 2017]",제17조의2(산업위기대응특별지역에 대한 지원 등),① 산업통상자원부장관 및 관계 중앙행정기관의 장은 제17조제2항에 따라 결정된 사항을 소관별로 산업위기대응특별지역에 지원하여야 한다.② 관계 중앙행정기관의 장은 제1항에 따라 지원한 내역을 대통령령으로 정하는 바에 따라 산업통상자원부장관에게 제출하여야 한다. <신설 2019. 1. 8.>③ 산업위기대응특별지역을 관할하는 지방자치단체(「지방자치법」 제2조제1항제2호에 해당하는 지방자치단체를 말한다)의 장은 제1항에 따른 지원의 효과 및 실적 등에 관한 보고서를 대통령령으로 정하는 바에 따라 작성하여 산업통상자원부장관에게 제출하여야 한다. <개정 2019. 1. 8.>④ 산업통상자원부장관은 제3항에 따른 보고서 작성을 위하여 필요하다고 인정하는 경우 지방자치단체의 장에게 제2항에 따라 제출받은 내역을 제공할 수 있다. <신설 2019. 1. 8.>[본조신설 2017. 3. 21.]
Article 17-3 (Cancellation of Designation of Special Area for Responding to Industrial Crisis),"(1) Where the economic conditions in a special area for responding to industrial crisis improves and there is no need of support for it, the Minister of Trade, Industry and Energy may cancel the designation thereof in consultation with the heads of relevant central administrative agencies even during the period of support under Article 17 (2), as prescribed by Presidential Decree.(2) Where the designation is cancelled under paragraph (1), the Minister of Trade, Industry and Energy shall notify the matters on the cancellation of designation in the Official Gazette.[This Article Newly Inserted on Mar. 21, 2017]",제17조의3(산업위기대응특별지역의 지정 해제),① 산업통상자원부장관은 제17조제2항에 따른 지원기간 중이더라도 산업위기대응특별지역의 경제상황이 호전되어 지원의 필요성이 없어진 경우 관계 중앙행정기관과 협의하여 대통령령으로 정하는 바에 따라 그 지정을 해제할 수 있다.② 산업통상자원부장관은 제1항에 따라 지정이 해제된 경우에는 지정 해제 사항을 관보에 공고하여야 한다.[본조신설 2017. 3. 21.]
Article 17-4 (Provision of Increased Government Subsidies),"The State may increase government subsidies in accordance with the subsidy rate prescribed by Presidential Decree to the projects prescribed by Presidential Decree among the projects granted with subsidies for special areas for responding to industrial crisis, despite the differential subsidy rates in Article 10 of the Subsidy Management Act and rates in other Acts.[This Article Newly Inserted on Jan. 8, 2019]",제17조의4(국고보조금의 인상지원),국가는 산업위기대응특별지역에 보조금을 지원하는 사업 중 대통령령으로 정하는 사업에 대해서는 국가의 보조금을 「보조금 관리에 관한 법률」 제10조에 따른 차등보조율과 다른 법률에 따른 보조율에도 불구하고 대통령령으로 정하는 보조율에 따라 인상하여 지원할 수 있다.[본조신설 2019. 1. 8.]
Article 18 (Relocation of Public Entities to Provincial Areas and Activation of Innovation Cities),"(1) The Government shall pursue policies for the relocation of public institutions to provincial areas and activation of innovation cities (hereinafter referred to as ""policies for innovation cities"") to relocate public institutions located in the Seoul metropolitan area as prescribed by Presidential Decree (hereafter referred to as ""public institution subject to relocation"" in this Article) to provincial areas (referring to relocation to areas other than the Seoul metropolitan area; hereinafter the same shall apply) in phases. <Amended on Mar. 20, 2018>(2) The Government shall take the following matters into account when pursuing policies for innovation cities: <Amended on Mar. 20, 2018>1. Local governments' plans to attract public institutions and support thereto;2. Relocation plans for each public institution subject to relocation;3. Activation of innovation cities and mutually beneficial development with neighborhood regions;4. Other matters necessary for balanced national development.(3) According to policies for innovation cities, the heads of relevant central administrative agencies, heads of local governments and heads of public institutions subject to relocation shall take measures necessary for relocating public institutions, such as formulation of relocation plans specific to the public institutions concerned and necessary for activating innovation cities. <Amended on Mar. 20, 2018>(4) When a public institution relocates to a provincial area, the State and local governments may provide financial and administrative support and support for improvement of living environments, etc. to such public institution and the employees thereof.[This Article Wholly Amended on Apr. 22, 2009][Title Amended on Mar. 20, 2018]",제18조(공공기관의 지방이전 및 혁신도시 활성화),"① 정부는 수도권에 있는 공공기관 중 대통령령으로 정하는 기관(이하 이 조에서 “이전대상공공기관”이라 한다)을 단계적으로 지방으로 이전(수도권이 아닌 지역으로의 이전을 말한다. 이하 같다)하기 위한 공공기관지방이전 및 혁신도시 활성화를 위한 시책(이하 “혁신도시시책”이라 한다)을 추진하여야 한다. <개정 2018. 3. 20.>② 정부는 혁신도시시책을 추진할 때에는 다음 각 호의 사항을 고려하여야 한다. <개정 2018. 3. 20.>1. 지방자치단체의 유치계획 및 지원에 관한 사항2. 이전대상공공기관별 지방이전계획에 관한 사항3. 혁신도시 활성화 및 인근 지역과의 상생발전에 관한 사항4. 그 밖에 국가균형발전을 위하여 필요한 사항③ 관계 중앙행정기관의 장, 지방자치단체의 장 및 이전대상공공기관의 장은 혁신도시시책에 따라 공공기관별 지방이전계획의 수립 등 공공기관의 이전에 필요한 조치 및 혁신도시 활성화에 필요한 조치를 시행하여야 한다. <개정 2018. 3. 20.>④ 국가와 지방자치단체는 공공기관이 지방으로 이전하는 경우 이전하는 공공기관 및 그 종사자에 대하여 재정적ㆍ행정적 지원 및 생활환경의 개선 등에 관한 지원을 할 수 있다.[전문개정 2009. 4. 22.][제목개정 2018. 3. 20.]"
Article 18-2 (Designation of Innovation Cities),"(1) An innovation city shall be designated for each Metropolitan City, Do, Special Self-Governing Province, other than Seoul metropolitan area referred to in Article 2 of the Seoul Metropolitan Area Readjustment Planning Act.(2) The head of a local government for which an innovation city is not designated under paragraph (1) may apply for designation of an innovation city to the Minister of Land, Infrastructure and Transport.(3) The Minister of Land, Infrastructure and Transport in receipt of an application for designation of an innovation city under paragraph (2) shall designate an innovation city after deliberation and resolution by the Presidential Committee for Balanced National Development.(4) Except as otherwise provided for in paragraphs (1) through (3), matters necessary for application for designation, designation, etc. of innovation cities shall be prescribed by Presidential Decree.[This Article Newly Inserted on Apr. 7, 2020][Previous Article 18-2 moved to Article 18-3 <Apr. 7, 2020>]",제18조의2(혁신도시의 지정),"① 혁신도시는 「수도권정비계획법」 제2조에 따른 수도권이 아닌 지역의 광역시, 도, 특별자치도별로 지정한다.② 제1항에 따른 지방자치단체 중 혁신도시가 지정되지 않은 지방자치단체의 장은 국토교통부장관에게 혁신도시 지정을 신청할 수 있다.③ 국토교통부장관은 제2항에 따른 혁신도시 지정 신청을 받은 경우 국가균형발전위원회의 심의ㆍ의결을 거쳐 혁신도시를 지정한다.④ 제1항부터 제3항까지에서 규정한 사항 외에 혁신도시 지정 신청, 지정 등에 필요한 사항은 대통령령으로 정한다.[본조신설 2020. 4. 7.][종전 제18조의2는 제18조의3으로 이동 <2020. 4. 7.>]"
Article 18-3 (Designation of National Innovation Clusters),"(1) Where a Mayor/Do Governor intends to obtain designation of a part of areas, districts, complexes and special zones prescribed by Presidential Decree, such as administrative city, innovation city, enterprise city and free economic zone of the administrative district in his or her jurisdiction as a national innovation cluster, he or she shall apply for the designation of a national innovation cluster to the Minister of Trade, Industry and Energy.(2) Where the Minister of Trade, Industry and Energy receives an application for designation of a national innovation cluster under paragraph (1), he or she shall designate the national innovation cluster following deliberation and resolution by the Presidential Committee for Balanced National Development. In such cases, the Presidential Committee for Balanced National Development shall take into account matters prescribed by Presidential Decree, such as potential for attracting enterprises and clustering.(3) Where it is infeasible to achieve the purpose of designation of a national innovation cluster or inevitable to change the details of designation, the Minister of Trade, Industry and Energy may cancel or change the designation of a national innovation cluster following the deliberation and resolution by the Presidential Committee for Balanced National Development.(4) Except as provided in paragraphs (1) through (3), matters necessary for procedures and methods of application for designation, designation, cancellation of designation, and change to designation of a national innovation cluster shall be prescribed by Presidential Decree.[This Article Newly Inserted on Mar. 20, 2018][Moved from Article 18-2; Previous Article 18-3 moved to Article 18-4 <Apr. 7, 2020>]",제18조의3(국가혁신융복합단지의 지정),"① 시ㆍ도지사는 관할 행정구역의 행정중심복합도시, 혁신도시, 기업도시, 경제자유구역 등 대통령령으로 정하는 구역ㆍ지구ㆍ단지ㆍ특구의 일부를 국가혁신융복합단지로 지정받으려는 경우 산업통상자원부장관에게 국가혁신융복합단지 지정을 신청하여야 한다.② 산업통상자원부장관은 제1항에 따른 국가혁신융복합단지 지정 신청을 받은 경우 국가균형발전위원회의 심의ㆍ의결에 따라 국가혁신융복합단지를 지정한다. 이 경우 국가균형발전위원회는 기업의 유치ㆍ집적 가능성 등 대통령령으로 정하는 사항을 고려하여야 한다.③ 산업통상자원부장관은 국가혁신융복합단지 지정 목적의 달성이 불가능하거나 지정 내용의 변경이 불가피한 경우에는 국가균형발전위원회의 심의ㆍ의결에 따라 국가혁신융복합단지 지정을 해제 또는 변경할 수 있다.④ 제1항부터 제3항까지 규정한 사항 외에 국가혁신융복합단지 지정 신청, 지정, 지정 해제ㆍ변경의 절차ㆍ방식 등에 필요한 사항은 대통령령으로 정한다.[본조신설 2018. 3. 20.][제18조의2에서 이동, 종전 제18조의3은 제18조의4로 이동 <2020. 4. 7.>]"
Article 18-4 (Fostering of National Innovation Clusters),"(1) The State and local governments shall pursue the following policies in national innovation clusters:1. Matters relating to administrative and financial support for promoting investment of domestic and foreign companies;2. Matters relating to support for research and development jointly participated by the universities, institutions and enterprises;3. Matters relating to improvement of regulations and creation of systemic conditions necessary for fostering new industries;4. Matters relating to creating regional industrial ecosystem and support for research and development, utilizing public institutions;5. Matters necessary for fostering national innovation clusters among policies promoted under the balanced national development plan.(2) The Presidential Committee for Balanced National Development may request the head of a central administrative agency governing policies prescribed in the subparagraphs of paragraph (1) to submit promotion plans on the relevant policies. In such cases, the head of the central administrative agency in receipt of the request shall comply therewith as prescribed by Presidential Decree, unless there is a compelling reason not to do so..(3) A business owner who moved into a national innovation cluster may request support for administrative affairs concerning fapplication for approval and permission in following subparagraphs to the City/Do regional innovation office referred to in paragraph (2) of Article 28. In such case, the City/Do regional innovation office shall provide support for relevant administrative affairs in accordance with procedures and methods prescribed by Presidential Decree:1. Building permission under Article 11 of the Building Act and approval for use of a building under Article 22 of the same Act;2. Permission for installation of emission facilities under Article 23 of the Clean Air Conservation Act;3. Approval for establishment, etc. of a factory under Article 13 (1) of the Industrial Cluster Development and Factory Establishment Act;4. Approval of a project plan under Article 33 of the Support for Small and Medium Enterprise Establishment Act.(4) The head of an agency in receipt of an application for approval and permission under the subparagraphs of paragraph (3) from a business owner located in a national innovation cluster, notwithstanding other statutes and regulations, shall process such application within the period prescribed by Presidential Decree; if he or she fails to do so, the approval or permission shall be deemed granted on a day after the date on which such period ends.(5) A local government may exempt a business owner who moved into a national innovation cluster from local tax, as prescribed by the Restriction of Special Local Taxation Act or municipal ordinance.[This Article Newly Inserted on Mar. 20, 2018][Moved from Article 18-3 <Apr. 7, 2020>]",제18조의4(국가혁신융복합단지의 육성),"① 국가와 지방자치단체는 국가혁신융복합단지에서 다음 각 호의 시책을 추진하여야 한다.1. 국내외 기업의 투자촉진을 위한 행정적ㆍ재정적 지원에 관한 사항2. 대학ㆍ연구소ㆍ기업이 공동으로 참여하는 연구개발 지원에 관한 사항3. 신산업을 육성하기 위하여 필요한 규제 개선 및 제도적 여건 조성에 관한 사항4. 공공기관을 활용한 지역의 산업 생태계 조성 및 연구개발 지원에 관한 사항5. 그 밖에 국가균형발전계획에 따라 추진되는 시책 중 국가혁신융복합단지의 육성을 위하여 필요한 사항② 국가균형발전위원회는 제1항 각 호의 시책을 소관으로 하는 중앙행정기관의 장에게 해당 시책에 대한 추진계획의 제출을 요구할 수 있다. 이 경우 요구를 받은 중앙행정기관의 장은 대통령령으로 정하는 특별한 사유가 없으면 요구에 따라야 한다.③ 국가혁신융복합단지에 입주한 사업자는 다음 각 호의 승인ㆍ허가 신청 사무에 대한 지원을 제28조제2항에 따른 시ㆍ도 지역혁신지원단에 요구할 수 있다. 이 경우 시ㆍ도 지역혁신지원단은 대통령령으로 정하는 절차ㆍ방식에 따라 해당 사무를 지원하여야 한다.1. 「건축법」 제11조에 따른 건축허가 및 같은 법 제22조에 따른 건축물의 사용승인2. 「대기환경보전법」 제23조에 따른 대기오염물질배출시설의 허가3. 「산업집적활성화 및 공장설립에 관한 법률」 제13조제1항에 따른 공장설립등의 승인4. 「중소기업창업 지원법」 제33조에 따른 사업계획의 승인④ 국가혁신융복합단지에 입주한 사업자로부터 제3항 각 호의 승인ㆍ허가 신청을 받은 기관의 장은 다른 법령에도 불구하고 대통령령으로 정하는 기간 안에 이를 처리하여야 하며, 그렇지 않을 경우에는 그 기간이 끝난 날의 다음 날에 승인ㆍ허가를 한 것으로 본다.⑤ 지방자치단체는 국가혁신융복합단지에 입주한 사업자에 대하여 「지방세특례제한법」 및 조례로 정하는 바에 따라 지방세를 감면할 수 있다.[본조신설 2018. 3. 20.][제18조의3에서 이동 <2020. 4. 7.>]"
Article 19 (Relocation of Companies and Universities to Provincial Areas),"(1) When a company located in the Seoul metropolitan area as prescribed by Presidential Decree in view of overpopulation, industrial positioning, industrial clustering, etc. for each Si/Gun/Gu relocates to a provincial area, the State and local governments may support such company by financial and administrative means, etc.(2) When a university located in the Seoul metropolitan area (excluding growth promotion areas and areas of special concern) relocates to a provincial area, the State and local governments may support such university by financial and administrative means, etc.(3) Detailed matters such as eligible beneficiaries of and procedure for support under paragraphs (1) and (2) shall be provided for by Presidential Decree.[This Article Wholly Amended on Apr. 22, 2009]",제19조(기업 및 대학의 지방이전),① 국가와 지방자치단체는 수도권 중 시ㆍ군ㆍ구별로 인구과밀ㆍ산업입지ㆍ산업집적 등을 고려하여 대통령령으로 정하는 지역에 있는 기업이 지방으로 이전하는 경우 재정적ㆍ행정적 사항 등에 관한 지원을 할 수 있다.② 국가 및 지방자치단체는 수도권(성장촉진지역과 특수상황지역은 제외한다)에 있는 대학이 지방으로 이전하는 경우 재정적ㆍ행정적 사항 등에 관한 지원을 할 수 있다.③ 제1항 및 제2항에 따른 지원의 대상 및 절차 등 세부적인 사항은 대통령령으로 정한다.[전문개정 2009. 4. 22.]
